Career Key,Qualification Key,Qualification ID,Qualification Title,NQF Level,Career Family,Career Name,Match Type,Relevance Score,Career Source,Review Flag
C0317,Q0001,122068,Advanced Occupational Certificate: Cybersecurity Practitioner,NQF LEVEL 06,ICT & Data,Cybersecurity Analyst,Direct,5,Starter title-based mapping,
C0341,Q0001,122068,Advanced Occupational Certificate: Cybersecurity Practitioner,NQF LEVEL 06,ICT & Data,SOC Analyst,Related,4,Starter title-based mapping,
C0331,Q0001,122068,Advanced Occupational Certificate: Cybersecurity Practitioner,NQF LEVEL 06,ICT & Data,Information Security Officer,Related,4,Starter title-based mapping,
C0325,Q0002,121296,Advanced Occupational Certificate: Extended Reality Developer,NQF LEVEL 06,ICT & Data,Extended Reality Developer,Direct,5,Starter title-based mapping,
C0350,Q0002,121296,Advanced Occupational Certificate: Extended Reality Developer,NQF LEVEL 06,ICT & Data,XR Developer,Related,4,Starter title-based mapping,
C0342,Q0002,121296,Advanced Occupational Certificate: Extended Reality Developer,NQF LEVEL 06,ICT & Data,Software Developer,Related,4,Starter title-based mapping,
C0047,Q0003,121690,Advanced Occupational Certificate: Franchise Manager,NQF LEVEL 06,Business & Management,Franchise Manager,Direct,5,Starter title-based mapping,
C0110,Q0003,121690,Advanced Occupational Certificate: Franchise Manager,NQF LEVEL 06,Business & Management,Store Operations Manager,Related,4,Starter title-based mapping,
C0028,Q0003,121690,Advanced Occupational Certificate: Franchise Manager,NQF LEVEL 06,Business & Management,Business Manager,Related,4,Starter title-based mapping,
C0247,Q0004,121151,Advanced Occupational Certificate: Human Resource Management Officer,NQF LEVEL 06,HR & Training,HR Administrator,Direct,5,Starter title-based mapping,
C0248,Q0004,121151,Advanced Occupational Certificate: Human Resource Management Officer,NQF LEVEL 06,HR & Training,HR Officer,Related,4,Starter title-based mapping,
C0249,Q0004,121151,Advanced Occupational Certificate: Human Resource Management Officer,NQF LEVEL 06,HR & Training,Learning & Development Coordinator,Related,4,Starter title-based mapping,
C0247,Q0005,121276,Advanced Occupational Certificate: Learning and Development Professional,NQF LEVEL 06,HR & Training,HR Administrator,Direct,5,Starter title-based mapping,
C0248,Q0005,121276,Advanced Occupational Certificate: Learning and Development Professional,NQF LEVEL 06,HR & Training,HR Officer,Related,4,Starter title-based mapping,
C0249,Q0005,121276,Advanced Occupational Certificate: Learning and Development Professional,NQF LEVEL 06,HR & Training,Learning & Development Coordinator,Related,4,Starter title-based mapping,
C0254,Q0006,120693,Advanced Occupational Certificate: Legislation Facilitator,NQF LEVEL 06,HR & Training,Training Facilitator,Direct,5,Starter title-based mapping,
C0240,Q0006,120693,Advanced Occupational Certificate: Legislation Facilitator,NQF LEVEL 06,HR & Training,Assessor,Related,4,Starter title-based mapping,
C0251,Q0006,120693,Advanced Occupational Certificate: Legislation Facilitator,NQF LEVEL 06,HR & Training,Skills Development Facilitator,Related,4,Starter title-based mapping,
C0441,Q0007,121157,Advanced Occupational Certificate: Media/Programme Content Production Manager,NQF LEVEL 06,Media & Communications,Media Production Assistant,Direct,5,Starter title-based mapping,
C0430,Q0007,121157,Advanced Occupational Certificate: Media/Programme Content Production Manager,NQF LEVEL 06,Media & Communications,Communications Officer,Related,4,Starter title-based mapping,
C0431,Q0007,121157,Advanced Occupational Certificate: Media/Programme Content Production Manager,NQF LEVEL 06,Media & Communications,Content Creator,Related,4,Starter title-based mapping,
C0283,Q0008,121356,Advanced Occupational Certificate: Orientation and Mobility Practitioner,NQF LEVEL 06,Health & Social Services,Orientation and Mobility Practitioner,Direct,5,Starter title-based mapping,
C0267,Q0008,121356,Advanced Occupational Certificate: Orientation and Mobility Practitioner,NQF LEVEL 06,Health & Social Services,Disability Support Practitioner,Related,4,Starter title-based mapping,
C0276,Q0008,121356,Advanced Occupational Certificate: Orientation and Mobility Practitioner,NQF LEVEL 06,Health & Social Services,Inclusive Education Support Worker,Related,4,Starter title-based mapping,
C0080,Q0009,121787,Advanced Occupational Certificate: Payroll Manager,NQF LEVEL 06,Business & Management,Payroll Administrator,Direct,5,Starter title-based mapping,
C0081,Q0009,121787,Advanced Occupational Certificate: Payroll Manager,NQF LEVEL 06,Business & Management,Payroll Officer,Related,4,Starter title-based mapping,
C0051,Q0009,121787,Advanced Occupational Certificate: Payroll Manager,NQF LEVEL 06,Business & Management,HR Payroll Officer,Related,4,Starter title-based mapping,
C0099,Q0010,122237,Advanced Occupational Certificate: Retail Store Manager,NQF LEVEL 06,Business & Management,Retail Store Manager,Direct,5,Starter title-based mapping,
C0075,Q0010,122237,Advanced Occupational Certificate: Retail Store Manager,NQF LEVEL 06,Business & Management,Operations Administrator,Related,4,Starter title-based mapping,
C0780,Q0011,121025,Advanced Occupational Certificate: Water and Sanitation Coordinator,NQF LEVEL 06,Public Sector,Water and Sanitation Coordinator,Direct,5,Starter title-based mapping,
C0779,Q0011,121025,Advanced Occupational Certificate: Water and Sanitation Coordinator,NQF LEVEL 06,Public Sector,Utilities Coordinator,Related,4,Starter title-based mapping,
C0778,Q0011,121025,Advanced Occupational Certificate: Water and Sanitation Coordinator,NQF LEVEL 06,Public Sector,Public Services Officer,Related,4,Starter title-based mapping,
